2023-07-10 21:02:17.245 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/srv'
2023-07-10 21:03:33.646 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:04:08.989 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:04:23.298 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/db/data/sap.common-Currencies.csv'
2023-07-10 21:04:26.906 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/db/data/sap.common.Currencies_texts.csv'
2023-07-10 21:04:32.235 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:04:45.798 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:04:51.976 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:05:01.848 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:05:17.161 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/db.sqlite-journal'
2023-07-10 21:05:17.342 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/db.sqlite-journal'
2023-07-10 21:05:21.367 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:10:43.805 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/db/data/hc450.officesupplies-Produto.csv'
2023-07-10 21:10:51.280 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:11:29.835 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:11:52.099 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/db/data/hc450.officesupplies-Product.csv'
2023-07-10 21:12:22.433 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:12:52.588 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
2023-07-10 21:17:08.634 [error] Error: ENOENT: no such file or directory, stat '/home/user/projects/HC_OFFICE_SUPLLIES/gen'
