2023-07-19 20:28:32.496 [error] Error: EEXIST: file already exists, open '/home/user/.vscode/data/User/workspaceStorage/bcad1d/vscode.lock'
2023-07-19 20:28:33.845 [error] No bundle location found for extension SAPSE.fs-usage-popup-vscode-extensions
2023-07-19 20:28:33.845 [error] No bundle location found for extension SAPSE.sap-ux-help-extension
2023-07-19 20:28:33.845 [error] No bundle location found for extension SAPSE.sap-ux-service-modeler-extension
2023-07-19 20:28:33.845 [error] No bundle location found for extension mtxr.sqltools
2023-07-19 20:28:33.845 [error] No bundle location found for extension SAP.vscode-bas-extension
2023-07-19 20:28:33.845 [error] No bundle location found for extension SAPOSS.vscode-dependencies-validation
2023-07-19 20:28:33.845 [error] No bundle location found for extension SAPOSS.vscode-deps-upgrade-tool
2023-07-19 20:28:37.025 [error] No bundle location found for extension SAPSE.vscode-node-version-check
2023-07-19 20:28:37.032 [error] No bundle location found for extension SAPSE.vscode-tasks-explorer-tasks-panel
2023-07-19 20:28:37.032 [error] No bundle location found for extension SAPOSS.vscode-ui5-language-assistant
2023-07-19 20:28:37.032 [error] No bundle location found for extension SAP.vscode-wing-run-config
2023-07-19 20:28:37.032 [error] No bundle location found for extension SAPSE.vscode-cds
2023-07-19 20:28:37.032 [error] No bundle location found for extension SAPSE.vscode-wing-cds-editor-bas
2023-07-19 20:28:37.032 [error] No bundle location found for extension SAPSE.vscode-wing-expose-router-ports
2023-07-19 20:28:37.032 [error] No bundle location found for extension SAP.vscode-wing-gerrit
2023-07-19 20:28:37.032 [error] No bundle location found for extension SAPSE.vscode-wing-java-run
2023-07-19 20:28:38.589 [error] No bundle location found for extension SAPOSS.app-studio-toolkit
2023-07-19 20:28:38.591 [error] No bundle location found for extension SAPOSS.app-studio-toolkit-themes
2023-07-19 20:28:38.591 [error] No bundle location found for extension vscode.git-base
2023-07-19 20:28:39.009 [error] No bundle location found for extension SAPOSS.code-snippet
2023-07-19 20:28:39.009 [error] No bundle location found for extension SAP.vscode-watt-framework-extension
2023-07-19 20:28:39.311 [error] No bundle location found for extension eamodio.gitlens
2023-07-19 20:28:39.374 [error] No bundle location found for extension donjayamanne.githistory
2023-07-19 20:28:39.450 [error] No bundle location found for extension SAPSE.sap-ux-application-modeler-extension
2023-07-19 20:28:40.999 [error] No bundle location found for extension SAP.vscode-wing-cf-tools
2023-07-19 20:28:41.128 [error] No bundle location found for extension vscode.npm
2023-07-19 20:28:41.199 [error] No bundle location found for extension mtxr.sqltools-driver-sqlite
2023-07-19 20:28:41.430 [error] No bundle location found for extension SAPOSS.guided-development
2023-07-19 20:28:41.430 [error] No bundle location found for extension SAPSE.vscode-wing-storyboard
2023-07-19 20:28:41.430 [error] No bundle location found for extension SAP.vscode-wing-welcome-screen
2023-07-19 20:28:41.430 [error] No bundle location found for extension vscode.git
2023-07-19 20:28:41.895 [error] No bundle location found for extension SAPSE.webide-hdi-feature-vscode
2023-07-19 20:28:41.895 [error] No bundle location found for extension SAPSE.vscode-bas-fiori-tools
2023-07-19 20:28:41.895 [error] No bundle location found for extension SAPSE.vscode-wing-cap-guided-development
2023-07-19 20:28:41.896 [error] No bundle location found for extension SAP.hana-runtime-tools
2023-07-19 20:28:41.896 [error] No bundle location found for extension SAPSE.webide-hdi-base-feature-vscode
2023-07-19 20:28:41.896 [error] No bundle location found for extension SAP.mta-editor-vscode
2023-07-19 20:28:41.896 [error] No bundle location found for extension sap.process-template-editor-vscode
2023-07-19 20:28:41.896 [error] No bundle location found for extension SAP.sap-bas-vscode-w5g
2023-07-19 20:28:41.896 [error] No bundle location found for extension SAP.vscode-bas-extensibility
2023-07-19 20:28:41.896 [error] No bundle location found for extension sap.workflow-editor-vscode
2023-07-19 20:28:43.320 [error] No bundle location found for extension SAPOS.yeoman-ui
2023-07-19 20:28:44.495 [error] No bundle location found for extension SAPSE.lcap-task-contrib
2023-07-19 20:28:46.957 [error] No bundle location found for extension SAPSE.hana-project-explorer
2023-07-19 20:28:47.462 [error] No bundle location found for extension SAPSE.cicd-extension
2023-07-19 20:28:47.664 [error] No bundle location found for extension sap.workflow-form-editor-vscode
2023-07-19 20:28:47.682 [error] No bundle location found for extension SAP.hana-eim-sdi
2023-07-19 20:28:48.834 [error] No bundle location found for extension SAP.adp-ve-bas-ext
2023-07-19 20:28:49.706 [error] No bundle location found for extension vscode.debug-auto-launch
2023-07-19 20:28:49.726 [error] No bundle location found for extension SAPSE.vscode-mta-tools
2023-07-19 20:28:49.727 [error] No bundle location found for extension vscode.merge-conflict
2023-07-19 20:28:49.858 [error] No bundle location found for extension SAPSE.hana-database-explorer
2023-07-19 20:28:50.280 [error] No bundle location found for extension SAPSE.vscode-wing-cap-run
2023-07-19 20:28:50.465 [error] No bundle location found for extension vscode.emmet
2023-07-19 20:41:07.938 [error] No bundle location found for extension vscode.typescript-language-features
2023-07-19 20:45:42.325 [error] No bundle location found for extension humao.rest-client
